Fold 1 Accuracy: 0.08186515568061059
Fold 1 Accuracy: 0.9576648553764343
Fold 2 Accuracy: 0.9576864509505343
Fold 3 Accuracy: 0.9570780184559788
Fold 4 Accuracy: 0.9581654827654329
Fold 5 Accuracy: 0.9571471122756882
Fold 1: Accuracy: 0.9576648553764343, Precision: 0.9298832768563385, Recall: 0.9093712489204159, F1-Score: 0.9175567227582505, F0.5-Score: 0.9242835118449474, F2-Score: 0.9122835092756483
Fold 2: Accuracy: 0.9576864509505343, Precision: 0.9404021282564529, Recall: 0.9141853677352415, F1-Score: 0.9243832677889784, F0.5-Score: 0.9330181585835683, F2-Score: 0.9177779862834016
Fold 3: Accuracy: 0.9570780184559788, Precision: 0.9287506873660494, Recall: 0.9147942243062932, F1-Score: 0.920905346655876, F0.5-Score: 0.9253666035886582, F2-Score: 0.9170632934756894
Fold 4: Accuracy: 0.9581654827654329, Precision: 0.934345701643951, Recall: 0.9118870985851046, F1-Score: 0.9209078764188146, F0.5-Score: 0.9282553919659384, F2-Score: 0.915110450848275
Fold 5: Accuracy: 0.957151429077111, Precision: 0.9276538846818442, Recall: 0.9146116795100027, F1-Score: 0.92045642901055, F0.5-Score: 0.9245908948926637, F2-Score: 0.9168065713272174
Fold 1: Accuracy: 0.9576648553764343, Precision: 0.9298832768563385, Recall: 0.9093712489204159, F1-Score: 0.9175567227582505, F0.5-Score: 0.9242835118449474, F2-Score: 0.9122835092756483
Fold 2: Accuracy: 0.9576864509505343, Precision: 0.9404021282564529, Recall: 0.9141853677352415, F1-Score: 0.9243832677889784, F0.5-Score: 0.9330181585835683, F2-Score: 0.9177779862834016
Fold 3: Accuracy: 0.9570780184559788, Precision: 0.9287506873660494, Recall: 0.9147942243062932, F1-Score: 0.920905346655876, F0.5-Score: 0.9253666035886582, F2-Score: 0.9170632934756894
Fold 4: Accuracy: 0.9581654827654329, Precision: 0.934345701643951, Recall: 0.9118870985851046, F1-Score: 0.9209078764188146, F0.5-Score: 0.9282553919659384, F2-Score: 0.915110450848275
Fold 5: Accuracy: 0.9571471122756882, Precision: 0.9276523540571046, Recall: 0.9146101643309388, F1-Score: 0.9204549061478118, F0.5-Score: 0.9245893673822003, F2-Score: 0.9168050530840071
Fold 1: Accuracy: 0.9576648553764343, Precision: 0.9298832768563385, Recall: 0.9093712489204159, F1-Score: 0.9175567227582505, F0.5-Score: 0.9242835118449474, F2-Score: 0.9122835092756483
Fold 2: Accuracy: 0.9576864509505343, Precision: 0.9404021282564529, Recall: 0.9141853677352415, F1-Score: 0.9243832677889784, F0.5-Score: 0.9330181585835683, F2-Score: 0.9177779862834016
Fold 3: Accuracy: 0.9570780184559788, Precision: 0.9287506873660494, Recall: 0.9147942243062932, F1-Score: 0.920905346655876, F0.5-Score: 0.9253666035886582, F2-Score: 0.9170632934756894
Fold 4: Accuracy: 0.9581654827654329, Precision: 0.934345701643951, Recall: 0.9118870985851046, F1-Score: 0.9209078764188146, F0.5-Score: 0.9282553919659384, F2-Score: 0.915110450848275
Fold 5: Accuracy: 0.9571471122756882, Precision: 0.9276523540571046, Recall: 0.9146101643309388, F1-Score: 0.9204549061478118, F0.5-Score: 0.9245893673822003, F2-Score: 0.9168050530840071
Fold 1: Accuracy: 0.9576648553764343, Precision: 0.9298832768563385, Recall: 0.9093712489204159, F1-Score: 0.9175567227582505, F0.5-Score: 0.9242835118449474, F2-Score: 0.9122835092756483
Fold 2: Accuracy: 0.9576864509505343, Precision: 0.9404021282564529, Recall: 0.9141853677352415, F1-Score: 0.9243832677889784, F0.5-Score: 0.9330181585835683, F2-Score: 0.9177779862834016
Fold 3: Accuracy: 0.9570780184559788, Precision: 0.9287506873660494, Recall: 0.9147942243062932, F1-Score: 0.920905346655876, F0.5-Score: 0.9253666035886582, F2-Score: 0.9170632934756894
Fold 4: Accuracy: 0.9581654827654329, Precision: 0.934345701643951, Recall: 0.9118870985851046, F1-Score: 0.9209078764188146, F0.5-Score: 0.9282553919659384, F2-Score: 0.915110450848275
Fold 5: Accuracy: 0.957151429077111, Precision: 0.9276538846818442, Recall: 0.9146116795100027, F1-Score: 0.92045642901055, F0.5-Score: 0.9245908948926637, F2-Score: 0.9168065713272174
Fold 1: Accuracy: 0.9576648553764343, Precision: 0.9298832768563385, Recall: 0.9093712489204159, F1-Score: 0.9175567227582505, F0.5-Score: 0.9242835118449474, F2-Score: 0.9122835092756483
Fold 2: Accuracy: 0.9576864509505343, Precision: 0.9404021282564529, Recall: 0.9141853677352415, F1-Score: 0.9243832677889784, F0.5-Score: 0.9330181585835683, F2-Score: 0.9177779862834016
Fold 3: Accuracy: 0.9570780184559788, Precision: 0.9287506873660494, Recall: 0.9147942243062932, F1-Score: 0.920905346655876, F0.5-Score: 0.9253666035886582, F2-Score: 0.9170632934756894
Fold 4: Accuracy: 0.9581654827654329, Precision: 0.934345701643951, Recall: 0.9118870985851046, F1-Score: 0.9209078764188146, F0.5-Score: 0.9282553919659384, F2-Score: 0.915110450848275
Fold 5: Accuracy: 0.9571471122756882, Precision: 0.9276523540571046, Recall: 0.9146101643309388, F1-Score: 0.9204549061478118, F0.5-Score: 0.9245893673822003, F2-Score: 0.9168050530840071
